evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 114.5972513593 4.272806 2.472832 1.549926 2.932714 4.789004 1.304327 2.153647 -3.784173 4.910177 0.704985 -1.225698 -3.643660 -2.140565 1.641309 2.789586
2 206.7179239146 -0.272117 -0.783307 3.147184 -1.567352 0.877795 4.366626 3.695956 1.616431 -3.371184 -4.178474 -3.616343 4.625628 -3.123938 2.699627 -3.009518
3 147.6686647228 4.253709 1.159539 -3.190597 -3.826760 -4.774817 2.143603 0.603308 -1.763979 -2.540780 1.305815 -1.280677 3.780898 -1.144498 1.275183 -0.994252
4 232.9071458890 3.577462 -1.077681 2.634720 3.097622 -3.964160 -3.878288 0.270706 0.918653 4.111955 -1.234298 -4.365449 -3.426320 -3.335536 -4.514127 4.481038
5 179.8314333053 -4.832701 4.043064 3.857059 3.459690 -4.785214 -2.896109 0.252497 -1.184288 0.632400 1.553988 -1.556125 2.665625 0.298925 -0.184437 3.346117
6 171.5715346830 1.485837 4.741658 -4.999703 4.355864 -4.690073 -1.281806 -1.180180 -0.967963 2.657599 -2.419271 0.085271 -0.723388 -2.008006 3.727059 -0.763865
7 161.6838645573 1.200220 3.042974 0.857329 1.985271 0.752847 2.763775 3.557063 2.512442 -0.641685 -4.572512 -3.312521 -3.517476 3.153012 0.153811 -4.081354
8 161.2723337193 -3.680928 4.140142 4.667683 -1.028495 -2.587334 -2.800329 -3.808918 0.572211 2.859832 1.063702 -1.134082 -2.533389 -0.706310 -0.931084 -4.013992
9 190.0323197506 1.334898 4.248222 3.136161 -3.213463 3.505194 -1.222975 4.032530 -0.266866 -3.592801 -0.851531 -4.130630 2.133398 3.657303 3.541315 -2.140522
10 210.0683492519 -2.373339 -1.175326 -1.276460 -4.455435 -2.839215 1.286877 -1.056514 -4.689874 1.638000 -2.310966 -0.288284 -4.229535 4.918352 -4.108642 -3.431333
11 154.5194372070 -3.668349 1.264834 3.813174 -2.914833 -3.307710 -0.111191 2.621090 -4.202699 -2.977868 0.743745 -4.140043 -0.126571 1.427955 -2.323750 -4.778231
12 215.7354812082 2.728269 2.840128 -4.541152 3.341776 1.080596 -0.988288 0.090094 -4.479759 -1.809753 -1.578259 4.727661 -4.033310 3.021487 -4.332771 -2.117369
13 184.9012164344 0.727549 2.144263 -1.506033 -4.854081 -1.028910 -0.602359 0.715330 3.452086 -2.133389 -2.725601 4.066438 -3.882735 1.759226 4.435986 -4.063013
14 127.5500434322 4.313894 2.815611 0.440866 -1.690512 1.412404 1.062170 -3.314527 -0.564989 -1.335328 -0.896008 -3.731523 -3.707998 3.478428 1.467934 2.091547
15 154.1175672762 -0.992813 3.321079 4.292356 -0.763306 2.058225 1.819631 -0.595915 3.090822 -2.822688 -4.920043 -2.959109 -2.426628 -2.008150 -3.179363 4.825480
16 318.2871663234 -3.517702 -4.275584 -4.980859 4.355304 4.334328 4.503368 -3.168636 -2.779685 -1.458592 3.638578 4.352656 3.787909 -4.116447 -1.346297 3.194875
17 258.8996868723 -3.989954 1.137426 0.211399 -1.995025 -1.173648 -4.306031 4.520315 3.122088 -1.879268 -3.180795 0.782462 -3.945990 0.844059 3.065650 -2.438951
18 106.3807376699 -2.453614 0.011065 2.347162 2.030377 -1.524457 -4.355677 -0.102191 -0.348186 3.646353 -1.126297 4.096277 1.402118 1.976049 0.694818 1.433539
19 230.4376908520 -3.370371 0.101447 -4.579636 1.223128 3.497416 2.454338 -2.703343 -4.553154 2.726212 0.731938 -3.782651 0.448017 -4.043489 3.500040 -4.530005
20 115.7399717253 -3.080396 -3.701602 -2.002490 -0.405317 4.646129 2.255316 1.622538 -2.136527 -0.437965 -3.801638 -2.025268 -0.963797 1.543580 2.209663 -4.279428
21 177.5034639899 1.324134 3.016333 1.298203 -1.907897 0.154764 4.456780 -0.009975 2.378617 -2.921596 3.974980 -3.949237 -3.571298 1.122809 -2.803391 1.592920
22 182.7615378169 -4.117701 4.732473 2.753190 -1.214993 4.493848 1.017804 1.799424 -2.656610 -4.552243 2.018317 3.809866 -1.614857 -3.866696 0.283342 -1.648946
23 215.5948374804 1.288190 -4.872778 2.165282 -4.759628 -2.892025 1.806266 0.380644 -2.595409 -4.759810 3.164056 3.561815 1.485612 0.612811 -3.733973 -3.173880
24 223.5840621236 -2.795481 -2.329781 4.104326 3.019258 -4.678955 -4.501901 -4.393907 -0.462723 -3.366414 0.442903 0.428321 4.615505 -3.884961 -4.130653 1.643676
25 133.2866961239 0.703841 3.233120 2.260539 1.637280 -1.918600 -3.067451 -4.067588 -4.301535 2.283043 2.294024 0.192547 -2.158070 1.341062 -2.854566 1.313793
26 150.7659197639 -4.748342 4.754764 -0.290463 -0.803611 2.760977 1.463606 -1.034799 -3.155895 1.322820 2.988401 -4.056849 -4.041763 1.644345 -3.730992 -2.907358
27 197.7787170867 2.442479 -2.232733 -2.541029 -1.355371 0.739732 4.138038 -2.929159 -4.604528 -4.358881 2.905035 -0.169513 1.215082 -4.085033 2.878518 1.567846
28 162.8647719270 2.768697 -1.695797 2.181842 -0.935441 -3.198277 4.610606 -1.211038 1.206254 -3.225423 -1.490946 -2.639942 4.722888 0.709023 -4.393435 3.759390
29 212.1247383240 1.059781 4.611724 -2.488097 -2.354300 2.068303 -1.803952 -1.099355 -3.113760 -1.117665 3.526784 4.374891 1.602323 -3.719019 4.319356 -0.938661
30 152.8942891456 3.761922 -3.425096 -3.801529 -2.568768 -1.056718 -3.144849 -4.051633 0.524000 -1.361799 0.121364 -1.037249 -0.396472 -3.161491 3.799258 -4.773740
31 182.0600778540 -4.597327 -0.491364 -3.415187 2.609430 -0.811893 -3.560972 -4.591693 -3.185770 1.853856 0.987103 -1.517895 -3.246504 1.701010 -3.906590 2.140891
32 116.3863489175 -0.266037 -2.364104 -4.480526 1.817400 -0.752528 3.853366 -0.106453 -4.045610 -1.672012 2.913622 0.074323 1.243934 1.382866 -0.286809 -1.987293
33 154.3532816593 3.431337 4.207796 -4.034898 -1.160047 3.616292 4.628769 -3.623765 -0.749862 -4.409501 0.131724 2.724591 1.993993 2.613172 -0.760930 -3.518013
34 222.7032765780 -3.937457 3.640718 2.750822 2.524407 -3.543647 -2.000121 -2.474670 -4.526451 -0.539954 1.986389 -2.188802 -2.101998 -3.169511 0.107487 4.230352
35 179.0422712965 -4.574500 -0.098029 -4.795619 4.869502 -4.909419 -0.773811 0.603204 -1.278338 1.727580 2.558889 -2.811262 3.317144 1.722856 2.652250 -1.161091
36 240.1687522315 -3.457433 -4.006557 4.252401 0.861707 3.012824 4.143649 0.115016 4.453957 -0.267298 4.410837 -4.465852 -0.488512 -1.285875 -3.936422 -3.206605
37 221.5968808965 -4.414406 0.323506 -0.447171 -1.839426 0.147563 4.777800 1.379077 -3.760345 4.425770 2.514831 4.445271 1.915900 1.881576 4.070040 1.503116
38 193.0992629394 -4.430172 3.828711 -4.619397 -2.125387 0.343015 4.653038 3.929891 -3.041196 3.482742 -0.669078 -3.224639 -4.171919 1.230457 0.615221 1.902487
39 177.5845607741 -2.023649 -4.727833 -2.873309 1.126915 0.705709 0.522222 -0.249581 -3.890181 -2.295055 4.323774 -2.163155 -4.270860 -3.917725 0.335584 0.487339
40 148.9181254112 -4.781806 -0.305062 -0.727661 4.994908 -0.970826 -0.103810 1.791078 2.586820 -1.787916 -3.947596 -2.821940 -1.948501 1.279951 -2.631507 -2.557675
41 157.0754979246 -2.778863 -1.280257 0.303173 -2.310823 0.371648 4.687841 4.021567 2.743013 -2.036693 -1.682965 -2.201843 4.180618 -1.227281 1.962202 -4.588018
42 145.4341274312 -1.291422 -3.687807 3.531865 2.833448 -2.125264 4.945489 3.390807 1.499867 -4.252982 -3.675878 -2.173250 -2.770716 -1.022729 3.136902 -0.754370
43 149.4283684224 -1.766185 -0.489540 -3.778689 -1.498909 -3.478776 -1.660012 -0.291528 -4.944234 -0.635081 -0.868861 3.169161 0.361066 0.672761 -3.509094 -1.800644
44 159.4827634573 1.133999 2.914014 -1.384768 -4.880256 1.217409 -3.755193 -3.257751 1.025378 -3.456533 2.169712 -1.238987 3.982981 1.149971 0.823963 3.111020
45 164.4983563474 -4.688006 -1.603422 2.791016 -0.721010 2.408127 -0.671735 -1.371585 3.916796 -1.769181 2.804684 4.619060 -4.595448 -0.724589 0.825651 -1.556476
46 78.1808228490 1.109068 -1.823237 -0.643843 1.673101 1.180230 0.543874 0.002495 -1.534804 1.917092 -2.663065 -0.728004 -0.648780 1.188946 0.921330 -2.242361
47 101.0436317786 -0.004900 -2.703886 -3.348464 -0.693233 -1.650528 0.906453 0.607361 3.390828 3.091554 -5.000000 0.325911 1.091650 1.895474 0.630640 -3.041459
48 142.6020589838 2.060256 -2.283924 1.845299 5.000000 3.543487 -0.295757 0.227545 -5.000000 -0.078699 -0.125245 -0.529168 -1.650248 0.863191 1.462576 -3.024077
49 62.8501970974 0.301606 -1.824229 0.077574 0.033234 1.829602 0.681229 -0.413450 -2.655814 0.062955 -2.251575 -4.293312 -0.654532 1.097213 0.460094 0.257634
50 92.2002479509 1.790047 -3.937174 -2.968309 -0.499188 3.706259 -0.298331 -0.736915 -2.746431 2.237095 -1.571689 -5.000000 -1.808088 0.398570 0.992451 3.523736
51 109.0913119392 -0.728076 -0.346288 4.000934 0.302652 -0.093442 1.911145 -0.691877 -3.610096 -2.116354 -2.985370 -5.000000 0.014614 1.569273 0.147854 -1.627846
52 62.6303657716 -0.556108 0.432166 -0.804831 -0.018343 4.756333 -0.792924 -0.115008 -0.378515 -0.463977 -1.781219 -5.000000 0.772841 1.535188 -0.208429 -0.824084
53 96.2239635851 -0.467217 -3.507568 -1.069698 0.070782 -2.059344 0.006081 0.049067 -0.619473 -4.793482 -1.886653 -5.000000 0.657441 1.392012 0.127260 -0.601152
54 90.3378086497 0.370647 2.225579 -0.015114 -0.377461 5.000000 0.307279 -0.597600 -1.141781 1.677790 -2.555587 -3.593805 0.541923 1.466277 -0.374664 1.302188
55 70.2981391532 0.282072 -1.199979 -1.635230 -0.136136 5.000000 -1.250859 -0.004575 -0.412956 0.684334 -0.180021 -5.000000 0.173537 1.515568 0.270443 -2.397984
56 72.1700892444 -0.310023 -2.611660 -1.505404 0.412368 0.760613 -0.900868 -0.647397 3.278581 -0.274034 -2.457237 -5.000000 0.878895 1.707086 0.257198 0.934242
57 110.6846221318 0.060421 -0.873907 -1.448357 0.574270 4.698360 -1.474851 -1.537338 -1.946612 1.152085 -4.914065 -5.000000 0.056233 1.248858 0.112972 3.373503
58 112.3478180425 -0.271562 -5.000000 -1.557392 0.443393 1.454018 2.759797 1.201204 -0.556529 0.125277 -1.690224 -5.000000 1.119469 0.951082 0.172596 -2.788479
59 70.0077486493 1.602055 -2.245498 -2.548108 0.220728 3.597405 -0.799319 -1.090585 -2.268422 3.048423 -0.275636 -2.050846 -1.576753 1.151108 0.898296 0.046246
60 22.4970890276 0.659463 -0.552281 -1.632864 -0.405669 1.791488 -0.160327 0.040624 2.865884 1.768209 -0.641831 -3.097968 -0.441423 1.164737 0.461258 -0.274387
61 94.0899317897 0.719206 -0.202079 -4.738768 -1.116217 1.044880 1.561637 0.901323 4.659872 5.000000 -0.436852 -2.552403 -0.800002 0.638868 0.368212 1.309950
62 65.3559253362 2.895748 0.214018 -1.716738 -0.635808 0.794073 0.023449 -1.621528 4.840656 0.117475 0.827142 -2.441405 -0.479620 0.749991 0.654496 -1.111104
