evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.3889308937 -0.611676 -0.065449 3.503843 4.996553 2.290795 1.054082 -3.919692 -3.655156 2.161153 -2.267418 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
2 1.4917338785 -0.422189 -1.792214 -1.113302 -3.995005 1.047331 3.644968 2.627505 2.332067 -2.606695 1.414534 1.819174 -0.846976 -3.703254 1.112385 3.283452
3 0.8843462627 -1.834791 4.567738 -3.389051 0.191224 0.830820 -3.158655 -1.367261 -3.991618 4.428481 -0.159822 3.678345 1.779529 -0.285570 0.857664 -1.475784
4 0.5531275499 4.049697 -1.458714 3.594827 -1.333719 3.936445 -3.420748 2.294169 4.923463 1.571053 3.231936 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
5 -0.0400480084 3.686591 1.507612 -4.994789 -4.128363 -3.334358 4.786593 3.860523 -0.834856 -3.860440 -1.208003 1.955925 -4.636282 3.905097 -3.138640 -1.274542
6 1.6366809219 -4.355505 -1.683280 0.016735 -4.292969 3.323425 -0.484922 3.607613 2.042295 1.580211 4.988154 1.638621 1.372583 -4.434629 3.720231 -4.658761
7 0.7045758070 4.965734 1.871670 -4.030262 -1.246890 -2.663531 -3.523071 -3.404979 -2.049817 -1.474823 1.478772 4.330813 0.145728 3.799893 -3.510667 3.177298
8 1.4780444877 -2.564662 1.892972 -3.723215 0.402917 -1.020125 4.291411 -0.420134 -4.187134 -2.774754 4.909574 -2.485850 2.116798 -0.054526 -3.984882 -2.660146
9 1.4636958355 -2.212272 -0.421562 0.400374 2.042647 -2.764030 3.524276 4.424020 4.998531 -0.804624 -4.515214 2.780062 4.128638 3.522737 1.628296 -3.716017
10 0.1836742694 -0.908862 2.730569 -3.647003 3.686308 -2.812410 4.942926 3.382424 -3.456293 -2.255592 -2.049454 2.270565 0.149380 1.286741 3.656116 -3.150989
11 1.2247344733 -1.236030 1.128761 -2.653654 -1.952333 -2.254596 2.337087 1.079079 2.102993 4.432255 -1.158640 -3.293655 -1.534287 4.724748 0.363741 0.300362
12 2.3215307586 1.691156 -2.441812 2.043755 0.053337 1.374210 1.698701 2.589679 0.252905 -4.088051 -4.522571 4.010127 -0.077086 -0.179325 -2.681367 -0.947167
13 1.2315139882 3.043710 -3.409970 -3.727946 -4.354396 0.263621 0.632210 -3.434396 -0.921743 2.885908 -2.449582 3.209400 1.928248 4.118134 -4.954695 -3.993508
14 1.3938436400 0.599169 4.646938 1.562534 -0.276196 -0.018210 -3.312186 2.436270 -0.529432 0.926313 -0.967906 4.756828 -4.193922 1.278918 2.655288 -0.064558
